input,metadata,expected_output,output,FScore,Precision,Recall,LLM_Judge,LLM_Judge_reason,assertions_passed_rate,assertion.LLMJudge_pass
Ist eine Webpräsenz für diese Institution verfügbar?,"{'test_idx': 132, 'turn_idx': 3, 'type': 'multi_turn'}",['Zu diesem Gebäude kenne ich leider keine Webseite.'],['Die Webpräsenz für das Gebäude mit der Nummer 451 ist nicht verfügbar.'],0.6986914277076721,0.6776971817016602,0.7210280895233154,0.5,"The output changes the specific reference and adds details not present in the expected output, altering the meaning slightly",0.0,False
An welcher Adresse finde ich Gebäude 303?,"{'test_idx': 133, 'turn_idx': 0, 'type': 'multi_turn'}","['Das Gebäude hat die Adresse KIT-Bibliothek Nord, Karlsruher Allee, Leopoldshafen, Eggenstein-Leopoldshafen, Landkreis Karlsruhe, Baden-Württemberg, 76344, Deutschland.']","['Das Gebäude 303 befindet sich an der Karlsruher Allee und ist die KIT-Bibliothek Nord. Die Adresse lautet Karlsruher Allee, 76344 Eggenstein-Leopoldshafen. Die Öffnungszeiten sind Montag bis Freitag von 09:00 bis 12:00 Uhr und 13:00 bis 15:00 Uhr.']",0.734029233455658,0.6787717342376709,0.7990808486938477,0.5,The output includes the correct address information for Gebäude 303 (KIT-Bibliothek Nord) but adds extra details (opening hours) not present in the expected output.,0.0,False
Wann hat das Gebäude geöffnet?,"{'test_idx': 133, 'turn_idx': 1, 'type': 'multi_turn'}","['Das Gebäude hat an Mo-Fr 09:00-12:00, 13:00-15:00;  geöffnet.']","['Ich habe keine Informationen über die Öffnungszeiten des Gebäudes gefunden. Die Dokumente, die ich erhalten habe, enthalten keine Informationen über die Öffnungszeiten.']",0.6110986471176147,0.63868248462677,0.5857987403869629,0.0,The output does not convey the correct information about the building's opening hours and instead states that no information was found.,0.0,False
Wann hat das Gebäude 260/1 heute geöffnet?,"{'test_idx': 134, 'turn_idx': 0, 'type': 'multi_turn'}",['Für dieses Gebäude kenne ich leider keine Öffnungszeiten.'],"['Ich kann keine Öffnungszeiten für das Gebäude 260/1 finden. Es scheint, dass das Gebäude 260/1 nicht in den gefundenen Dokumenten erwähnt wird. Wenn Sie nach den Öffnungszeiten eines bestimmten Gebäudes auf dem KIT-Campus suchen, können Sie mir bitte den Namen oder die Adresse des Gebäudes nennen, damit ich Ihnen besser helfen kann.']",0.7357896566390991,0.6702480316162109,0.8155388832092285,0.5,The output conveys the same information as the expected output but adds unnecessary explanations and apologies.,0.0,False
Ist der Zugang barrierefrei?,"{'test_idx': 134, 'turn_idx': 1, 'type': 'multi_turn'}",['Zu diesem Gebäude habe ich leider keine Informationen zur Rollstuhgerechtigkeit.'],"['assistantIch kann keine Informationen über die Barrierefreiheit des Gebäudes 260/1 finden, da es in den gefundenen Dokumenten nicht erwähnt wird. Wenn Sie nach den Barrierefreiheitsmerkmalen eines bestimmten Gebäudes auf dem KIT-Campus suchen, können Sie mir bitte den Namen oder die Adresse des Gebäudes nennen, damit ich Ihnen besser helfen kann.']",0.6700326800346375,0.6267921924591064,0.7196812629699707,0.0,"The output does not match the expected output in meaning. The expected output is a direct statement about lack of information on accessibility, while the output provides an excuse and asks for additional input.",0.0,False
Wie finde ich diese Location?,"{'test_idx': 134, 'turn_idx': 2, 'type': 'multi_turn'}","['Das Gebäude hat die Adresse Neureuter Straße, Leopoldshafen, Eggenstein-Leopoldshafen, Landkreis Karlsruhe, Baden-Württemberg, 76344, Deutschland.']","['Um die Location zu finden, benötige ich mehr Informationen. Könnten Sie mir bitte den Namen oder die Adresse des Gebäudes 260/1 nennen, damit ich Ihnen besser helfen kann?']",0.5701737999916077,0.5493108630180359,0.5926839709281921,0.0,The output asks for additional information instead of providing the expected address,0.0,False
Ist der Zugang für Rollstuhlfahrer geeignet. Ich will nach 10.11,"{'test_idx': 135, 'turn_idx': 0, 'type': 'multi_turn'}",['Zu diesem Gebäude habe ich leider keine Informationen zur Rollstuhgerechtigkeit.'],['Das Hauptgebäude (10.11) hat keine Informationen über die Rollstuhlzugänglichkeit. Das Lernzentrum am Fasanenschlösschen (Geb. 30.28) und das Studierendenservice (10.12) haben keine Informationen über die Rollstuhlzugänglichkeit. Die Mensa am Adenauerring (01.13) ist jedoch rollstuhlgeeignet.'],0.6773306131362915,0.6315062046051025,0.7303258180618286,0.0,The output provides additional information about other buildings instead of just conveying the required information about building 10.11 and its lack of accessibility data.,0.0,False
Was ist die Adresse dieses Standorts?,"{'test_idx': 135, 'turn_idx': 1, 'type': 'multi_turn'}","['Das Gebäude hat die Adresse Hauptgebäude, 12, Kaiserstraße, Innenstadt-Ost Nordöstlicher Teil, Innenstadt-Ost, Karlsruhe, Baden-Württemberg, 76131, Deutschland.']","['Die Adresse des Franz-Schnabel-Hauses, das das Institut für Germanistik beherbergt, ist Fritz-Haber-Weg 7.']",0.6490958333015442,0.6393090486526489,0.659186840057373,0.0,"The output provides a different address than the expected output, which indicates inconsistency in meaning.",0.0,False
Können Sie mir den Weg zum besagten Gebäude zeigen?,"{'test_idx': 135, 'turn_idx': 2, 'type': 'multi_turn'}","['Mit diesem Link kannst du dich zu dem Gebäude führen lassen: https://www.google.com/maps/dir/?api=1&destination=49.00933,8.41223.']","['assistant<|end_header_id>Um zum Franz-Schnabel-Haus zu gelangen, folgen Sie bitte diesen Anweisungen:\n\n1. Sie befinden sich wahrscheinlich im Innenstadt-Ost-Viertel von Karlsruhe.\n2. Suchen Sie die Fritz-Haber-Weg 7, wo sich das Franz-Schnabel-Haus befindet.\n3. Wenn Sie sich nicht sicher sind, können Sie sich an die Zentrale Studienberatung (ZSB) im Adolf-Würth-Gebäude (Engelbert-Arnold-Straße 2) wenden, die etwa 5 Minuten Fußweg entfernt ist.\n4. Alternativ können Sie auch den Oberen Hörsaal Maschinenbau (Mittlerer Hörsaal) im Ehrenhof besuchen, der etwa 7 Minuten Fußweg entfernt ist.\n\nBitte beachten Sie, dass die genauen Anweisungen und Entfernungen je nach Ihrer aktuellen Position variieren können. Es ist immer eine gute Idee, sich vorher zu orientieren oder eine Karte zu verwenden, um den Weg zu planen.']",0.552270770072937,0.5478572845458984,0.5567558407783508,0.0,"The output provides detailed directions and alternative options, but does not match the expected output of providing a direct Google Maps link. It fails to convey the intended information effectively.",0.0,False
Welche Öffnungszeiten hat das 724 Gebäude?,"{'test_idx': 136, 'turn_idx': 0, 'type': 'multi_turn'}",['Für dieses Gebäude kenne ich leider keine Öffnungszeiten.'],"['Ich habe leider keine Informationen über die Öffnungszeiten des 724 Gebäudes gefunden. Es scheint, dass die Gebäude, die ich gefunden habe, nicht mit diesem Gebäudenummer übereinstimmen. Wenn Sie mir mehr über das Gebäude erzählen können, kann ich Ihnen vielleicht helfen, die richtigen Informationen zu finden.']",0.7235462665557861,0.656111478805542,0.8064306378364563,0.5,"The output conveys that the chatbot does not have information about the building's opening hours, similar to the expected output, but includes unnecessary explanations and apologies.",0.0,False
